variant,label_zh,seed,brier_delta_ablation_minus_full,brier_ci_low,brier_ci_high,risk30_delta_ablation_minus_full,risk30_ci_low,risk30_ci_high
no_event,去掉事件训练损失,20260831,0.14276657611654864,0.1113044647800612,0.17651766177136893,0.02661097805106163,-0.001348784191313351,0.061259015687332816
no_event,去掉事件训练损失,20260901,0.14274397257084176,0.11138738421722935,0.17645046544493867,0.030061093769323567,-0.0030731761066821353,0.06894348405773965
no_event,去掉事件训练损失,20260902,0.1247543983391566,0.09559207779149004,0.15611130933836107,0.004975430753840285,-0.016109239209880284,0.045322813454954154
no_global,去掉解码器全局因子,20260831,0.03442583513946533,0.019468349907377527,0.0497094125917899,0.025347115418363746,-0.0008119397656609003,0.05150991043375605
no_global,去掉解码器全局因子,20260901,0.03157303088005646,0.021849599149427176,0.04192259903164545,-0.003943552991562956,-0.013841930319523856,0.0038760432583065467
no_global,去掉解码器全局因子,20260902,0.016485105633792116,0.008661038777368395,0.024158031603043556,-0.0007656750493067327,-0.0077990250733546655,0.00953993766857782
